#,priority,priority_name,fds,footprint,footprint_peak,dirty,PE,frozen,docked,swappable,coalition_id,pid,name,flags,total_dirty_time,process_lifetime,percent_dirty
126,0,(Idle),3,2289,2337,N,Y,-,N,-,232,149,CommCenterRootHelper,(---),0,182,0.00
127,0,(Idle),3,2081,2145,N,Y,-,N,-,246,404,UserFontManager,(---),85,145,58.96
128,0,(Idle),18,4753,5137,N,Y,-,N,-,670,428,videosubscriptionsd,(---),97,140,69.40
129,0,(Idle),3,24673,45377,N,Y,-,N,-,320,199,sirittsd,(---),135,181,74.69
130,0,(Idle),3,2017,2065,N,Y,-,N,-,52,401,WiFiCloudAssetsXPCService,(---),51,147,34.72
131,0,(Idle),3,1745,1969,N,Y,-,N,-,733,481,MobileBackupCacheDeleteService,(---),62,113,54.47
132,0,(Idle),3,2017,2177,N,Y,-,N,-,246,157,fontservicesd,(---),0,182,0.01
133,0,(Idle),5,3937,3985,N,Y,-,N,-,306,191,bluetoothuserd,(---),95,181,52.75
134,0,(Idle),3,2289,2433,N,Y,-,N,-,156,108,deviceconfigurationd,(---),13,183,7.25
135,0,(Idle),3,3377,3873,N,Y,-,N,-,680,434,mediaparserd,(---),55,136,40.73
136,0,(Idle),3,3537,3841,N,Y,-,N,-,324,201,familycircled,(---),47,181,26.33
137,0,(Idle),11,5201,5697,N,Y,-,N,-,574,363,amsondevicestoraged,(---),0,157,0.14
138,0,(Idle),3,4913,5073,N,Y,-,N,-,248,158,featureaccessd,(---),97,182,53.55
139,0,(Idle),3,1857,1985,N,Y,-,N,-,569,356,metrickitd,(---),23,159,14.47
140,0,(Idle),3,2865,3169,N,Y,-,N,-,617,391,DeviceConfigurationAgent,(---),0,152,0.65
141,0,(Idle),3,2017,2257,N,Y,-,N,-,856,657,intents_helper,(---),0,39,0.10
142,0,(Idle),3,3361,3585,N,Y,-,N,-,476,288,swcd,(---),70,170,41.29
143,0,(Idle),3,2657,2913,N,Y,-,N,-,298,649,SetStoreUpdateService,(---),0,48,0.30
144,0,(Idle),3,2369,2401,N,Y,-,N,-,437,267,speechmaintenanced,(---),6,173,3.73
145,0,(Idle),6,3713,3937,N,Y,-,N,-,84,72,appprotectiond,(---),17,183,9.27
146,0,(Idle),3,2897,3297,N,Y,-,N,-,731,591,CredentialProviderExtensionHelper,(---),20,90,22.44
147,0,(Idle),3,1585,1617,N,Y,-,N,-,853,648,nanoregistrylaunchd,(---),3,49,6.47
148,0,(Idle),8,3041,3217,N,Y,-,N,-,831,585,feedbackd,(---),48,94,51.38
149,0,(Idle),8,3665,3969,N,Y,-,N,-,676,432,appplaceholdersyncd,(---),58,137,42.78
150,0,(Idle),3,3073,3233,N,Y,-,N,-,864,660,fitnesscoachingd,(---),0,37,2.03
151,0,(Idle),3,2401,2785,N,Y,-,N,-,399,661,SetStoreUpdateService,(---),0,36,0.05
152,0,(Idle),3,5441,5697,N,Y,-,N,-,423,260,wifip2pd,(---),52,174,30.18
153,0,(Idle),3,3777,3953,N,Y,-,N,-,484,294,AuthenticationServicesAgent,(---),0,170,0.05
