## smcDiagnose 5.00 200
BVVC , 0x09 00 0d 00 18 00 2d 00  52 00 08 00 0c 00 17 00  2a 00 3c 00 
BVVI , 3.000000
BVVL , 4420.000000
BVVM , 4420.000000
BVVN , 4420.000000
BVVO , 4480.000000
BVVP , 4420.000000
BVVQ , 0.000000
BVVR , 4420.000000
BfDC , 16000.000000
BfRM , 11840.000000
BfSC , 73.000000
BnDC , 19000.000000
CBCL , 4294967295.000000
CBSC , 16.000000
CBSV , 4.000000
CBTC , 1.000000
CH0D , 0xff ff ff ff 
CH0E , 0x00 00 00 00 00 00 00 00  
CH0H , 184.000000
CH0J , 0.000000
CH0R , 0x00 00 00 00 
CH0V , 4280.000000
CHA1 , 2920.000000
CHA2 , 2920.000000
CHAI , 16384.000000
CHAS , 2920.000000
CHBI , 2642.000000
CHBV , 4372.000000
CHCC , 1.000000
CHCE , 1.000000
CHCF , 0x03 
CHCR , 1.000000
CHDB , 0x00 00 
CHFS , 3.000000
CHHC , 0.000000
CHI1 , 3000.000000
CHI2 , 3000.000000
CHIB , 0.000000
CHIC , 1.000000
CHIE , 0x00 
CHIF , 1.000000
CHIL , 0.000000
CHIM , 5000.000000
CHIO , 0.000000
CHIS , 1.000000
CHLS , 0x5f 05 
CHLT , 0x5f 05 00 
CHM2 , 0x00 00 00 00 00 00 00 00  00 00 00 00 
CHNC , 0x00 00 00 00 00 00 00 00  
CHOC , 0.000000
CHPS , 1.000000
CHQi , 2.704987
CHQv , 4.696991
CHQw , 0.000000
CHRT , 0.000000
CHSC , 1.000000
CHSE , 0.000000
CHSL , 0x0a 00 a6 1d 04 c8 d5 04  0f 53 0a 90 08 14 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  03 03 79 09 00 00 00 00  00 00 01 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
CHST , 0.000000
CHSW , 0x00 00 00 00 00 00 00 00  
CHTC , 0.000000
CIP0 , 11590.000000
CIPC , 1.000000
CIPE , 0.000000
CIPF , 0.000000
CIPI , 3000.000000
CIPP , 15000.000000
CIPR , 255.000000
CIPV , 5000.000000
CIPW , 30000.000000
CLKo , 0x5b e4 3c b7 81 33 
D1AP , 1.000000
D1Ac , 0x17 84 b1 2c 
D1BD , 12.000000
D1BI , 500.000000
D1CA , 1.000000
D1CD , 1.000000
D1CF , 2.000000
D1CR , 0.000000
D1CS , 0.000000
D1CT , 0.000000
D1CU , 0.000000
D1CX , 2.000000
D1CY , 2.000000
D1CZ , 0.000000
D1Cb , 0.000000
D1Cc , 0.000000
D1Cf , 0.000000
D1Ci , 0.000000
D1Cm , 0.000000
D1Cn , 0.000000
D1Cr , 0.000000
D1Cs , 0.000000
D1Ct , 0.000000
D1Cv , 0.000000
D1Cw , 0.000000
D1DA , 0x00 0d 
D1DB , 0x00 
D1DE , 0x70 64 20 63 68 61 72 67  65 72 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1DI , 7.000000
D1DP , 0x00 00 00 00 91 04 00 00  
D1DR , 1.000000
D1Dp , 1.000000
D1EC , 0.000000
D1EF , 0x00 00 00 00 
D1Ep , 0.000000
D1FC , 3758112778.000000
D1FS , 0x0c 
D1FV , 0x00 20 91 00 
D1ID , 0.000000
D1IQ , 0xff ff 07 00 00 00 00 00  02 00 07 00 03 00 01 00  04 00 03 00 02 00 05 00  00 00 00 00 00 00 01 00  00 00 00 00 00 00 00 00  0f 00 
D1IR , 3000.000000
D1JA , 4500.000000
D1JB , 4500.000000
D1JD , 0x94 11 00 00 94 11 00 00  94 11 94 11 00 00 00 00  94 11 00 00 00 
D1JE , 0.000000
D1JF , 0.000000
D1JG , 0.000000
D1JI , 0.000000
D1JM , 4500.000000
D1JN , 4500.000000
D1JP , 1.000000
D1JQ , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 01 
D1JR , 4500.000000
D1JS , 4500.000000
D1JV , 0.000000
D1LC , 0.000000
D1LG , 0xf1 00 40 01 48 f4 01 5e  00 5f 03 02 1a 02 3f 02  5f f4 00 03 01 1a 01 3f  03 40 00 5f 30 01 f1 01  1a 30 3f f1 5f 40 01 48  48 5e 00 5f 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1LI , 44.000000
D1LR , 0.000000
D1MI , 3000.000000
D1MP , 15000.000000
D1MV , 5000.000000
D1PI , 0.000000
D1PM , 0x88 13 b8 0b 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 
D1PR , 0.000000
D1PS , 255.000000
D1PT , 2.000000
D1Pd , 0xf6 87 
D1Pe , 0xf6 87 
D1Pi , 0.000000
D1Ps , 255.000000
D1Pt , 1.000000
D1Rc , 0.000000
D1Rp , 3000.000000
D1ST , 15.000000
D1SW , 80.000000
D1St , 0x11 00 
D1UI , 0xd9 ae 2f 0e e7 69 ef 5a  b9 be ae 2f e6 04 6f 55  
D1VD , 0.000000
D1VM , 5000.000000
D1VR , 5000.000000
D1VX , 5000.000000
D1Vb , 2.000000
D1Vd , 0x43 10 
D1Ve , 0x43 10 
D1Vm , 0.000000
D1Vn , 0.000000
D1WS , 0.000000
D1if , 0x00 00 00 00 00 00 00 00  00 00 00 00 
D1ih , 0x00 00 00 00 00 00 00 00  00 00 00 00 
D1ii , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1im , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1in , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1is , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
D1lg , 0x1a 31 48 40 01 3f f3 30  01 bb a0 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 
