    #  priority             fds  footprint  footprint_peak  dirty  PE  frozen  docked  swappable  coalition_id  pid  name                                                      flags  total_dirty_time  process_lifetime  percent_dirty
   96    0 (Idle)             4     3153KB          3249KB    -     -     -       N        -               472  376  PhotosFileProvider                                                             0s              153s          0.00%
   97    0 (Idle)            71   116001KB        136161KB    -     -     -       N        -               740  494  GLEGram                                                                        0s              105s          0.00%
   98    0 (Idle)             3     4513KB          4513KB    N     Y     -       N        -               735  482  avconferenced                                                                  3s              110s          3.11%
   99    0 (Idle)            15     4721KB          4865KB    N     Y     -       N        -               433  265  voicebankingd                                                                  5s              172s          3.07%
  100    0 (Idle)             6     7057KB          7313KB    N     Y     -       N        -                26   43  axassetsd                                                                     18s              183s          9.91%
  101    0 (Idle)             3     3345KB          3473KB    N     Y     -       N        -               709  461  gamecontrollerd                                                                0s              126s          0.01%
  102    0 (Idle)             6     4161KB          4545KB    N     Y     -       N        -               586  371  wifianalyticsd                                                                40s              154s         26.35%
  103    0 (Idle)             5     5169KB          6401KB    N     Y     -       N        -               668  427  mediaplaybackd                                                                59s              140s         42.65%
  104    0 (Idle)             3     2401KB          2401KB    N     Y     -       N        -               735  483  AudioConverterService                                                          0s              109s          0.02%
  105    0 (Idle)             3     2353KB          2353KB    N     Y     -       N        -               735  484  AudioConverterHardenedService                                                  0s              109s          0.02%
  106    0 (Idle)             4     3297KB          3441KB    N     Y     -       N        -               427  262  installd                                                                      52s              173s         29.98%
  107    0 (Idle)             6     3489KB          3585KB    N     Y     -       N        -               500  306  recentsd                                                                      32s              168s         18.98%
  108    0 (Idle)             6     4065KB          6353KB    N     Y     -       N        -               698  454  callhistoryd                                                                   0s              130s          0.07%
  109    0 (Idle)             3     2161KB          2305KB    N     Y     -       N        -               234  150  misd                                                                           3s              182s          2.11%
  110    0 (Idle)             3     3217KB          3217KB    -     -     -       N        -               472  589  PhotosFileProvider                                                             0s               90s          0.00%
  111    0 (Idle)             5     6017KB          6113KB    N     Y     -       N        -               466  283  intelligencecontextd                                                          44s              171s         25.92%
  112    0 (Idle)             3     7057KB          7297KB    N     Y     -       N        -               552  343  splashboardd                                                                  21s              163s         12.88%
  113    0 (Idle)             6     5249KB          5761KB    N     Y     -       N        -               441  269  ind                                                                           36s              172s         20.92%
  114    0 (Idle)             3     4417KB          4977KB    N     Y     -       N        -               284  179  fmflocatord                                                                   92s              181s         51.14%
  115    0 (Idle)             3     2481KB          2577KB    N     Y     -       N        -               829  590  AudioConverterService                                                          0s               90s          0.02%
  116    0 (Idle)             3     2705KB          2881KB    N     Y     -       N        -               206  172  AudioConverterService                                                         43s              181s         23.91%
  117    0 (Idle)             3     3057KB          3201KB    N     Y     -       N        -                96   78  ManagedSettingsAgent                                                          43s              183s         23.68%
  118    0 (Idle)             6     4209KB          4385KB    N     Y     -       N        -               393  244  eligibilityd                                                                  59s              176s         33.61%
  119    0 (Idle)             4     3153KB          3281KB    N     Y     -       N        -               405  378  TrialArchivingService                                                         23s              153s         15.14%
  120    0 (Idle)             3     2481KB          2609KB    N     Y     -       N        -                62   61  seld                                                                          21s              183s         11.89%
  121    0 (Idle)             3     2465KB          3025KB    N     Y     -       N        -               502  307  spaceattributiond                                                             35s              168s         20.90%
  122    0 (Idle)             3     2145KB          2209KB    N     Y     -       N        -               128   94  AppleCredentialManagerDaemon                                                   5s              183s          2.83%
  123    0 (Idle)             3     1649KB          1937KB    N     Y     -       N        -               613  389  deleted_helper                                                                98s              152s         64.60%
  124    0 (Idle)             6     3505KB          3665KB    N     Y     -       N        -               643  409  progressd                                                                      0s              144s          0.57%
  125    0 (Idle)             7     6913KB          7009KB    N     Y     -       N        -               230  148  CommCenterMobileHelper                                                       128s              182s         70.35%
  126    0 (Idle)             3     2289KB          2337KB    N     Y     -       N        -               232  149  CommCenterRootHelper                                                           0s              182s          0.00%
  127    0 (Idle)             3     2081KB          2145KB    N     Y     -       N        -               246  404  UserFontManager                                                               85s              145s         58.95%
  128    0 (Idle)            18     4753KB          5137KB    N     Y     -       N        -               670  428  videosubscriptionsd                                                           97s              140s         69.40%
  129    0 (Idle)             3    24673KB         45377KB    N     Y     -       N        -               320  199  sirittsd                                                                     135s              181s         74.69%
  130    0 (Idle)             3     2017KB          2065KB    N     Y     -       N        -                52  401  WiFiCloudAssetsXPCService                                                     51s              147s         34.72%
  131    0 (Idle)             3     1745KB          1969KB    N     Y     -       N        -               733  481  MobileBackupCacheDeleteService                                                62s              113s         54.47%
  132    0 (Idle)             3     2017KB          2177KB    N     Y     -       N        -               246  157  fontservicesd                                                                  0s              182s          0.01%
  133    0 (Idle)             5     3937KB          3985KB    N     Y     -       N        -               306  191  bluetoothuserd                                                                95s              181s         52.75%
  134    0 (Idle)             3     2289KB          2433KB    N     Y     -       N        -               156  108  deviceconfigurationd                                                          13s              183s          7.25%
  135    0 (Idle)             3     3377KB          3873KB    N     Y     -       N        -               680  434  mediaparserd                                                                  55s              136s         40.73%
  136    0 (Idle)             3     3537KB          3841KB    N     Y     -       N        -               324  201  familycircled                                                                 47s              181s         26.33%
  137    0 (Idle)            11     5201KB          5697KB    N     Y     -       N        -               574  363  amsondevicestoraged                                                            0s              157s          0.14%
  138    0 (Idle)             3     4913KB          5073KB    N     Y     -       N        -               248  158  featureaccessd                                                                97s              182s         53.55%
  139    0 (Idle)             3     1857KB          1985KB    N     Y     -       N        -               569  356  metrickitd                                                                    23s              159s         14.47%
  140    0 (Idle)             3     2865KB          3169KB    N     Y     -       N        -               617  391  DeviceConfigurationAgent                                                       0s              152s          0.65%
  141    0 (Idle)             3     2017KB          2257KB    N     Y     -       N        -               856  657  intents_helper                                                                 0s               39s          0.10%
  142    0 (Idle)             3     3361KB          3585KB    N     Y     -       N        -               476  288  swcd                                                                          70s              170s         41.29%
  143    0 (Idle)             3     2657KB          2913KB    N     Y     -       N        -               298  649  SetStoreUpdateService                                                          0s               48s          0.30%
  144    0 (Idle)             3     2369KB          2401KB    N     Y     -       N        -               437  267  speechmaintenanced                                                             6s              173s          3.73%
  145    0 (Idle)             6     3713KB          3937KB    N     Y     -       N        -                84   72  appprotectiond                                                                17s              183s          9.27%
  146    0 (Idle)             3     2897KB          3297KB    N     Y     -       N        -               731  591  CredentialProviderExtensionHelper                                             20s               90s         22.44%
  147    0 (Idle)             3     1585KB          1617KB    N     Y     -       N        -               853  648  nanoregistrylaunchd                                                            3s               49s          6.47%
  148    0 (Idle)             8     3041KB          3217KB    N     Y     -       N        -               831  585  feedbackd                                                                     48s               94s         51.38%
  149    0 (Idle)             8     3665KB          3969KB    N     Y     -       N        -               676  432  appplaceholdersyncd                                                           58s              137s         42.78%
  150    0 (Idle)             3     3073KB          3233KB    N     Y     -       N        -               864  660  fitnesscoachingd                                                               0s               37s          2.03%
  151    0 (Idle)             3     2401KB          2785KB    N     Y     -       N        -               399  661  SetStoreUpdateService                                                          0s               36s          0.05%
  152    0 (Idle)             3     5441KB          5697KB    N     Y     -       N        -               423  260  wifip2pd                                                                      52s              174s         30.18%
  153    0 (Idle)             3     3777KB          3953KB    N     Y     -       N        -               484  294  AuthenticationServicesAgent                                                    0s              170s          0.05%
  154    0 (Idle)             3     2577KB          2641KB    N     Y     -       N        -               542  331  keychainsharingmessagingd                                                      0s              165s          0.02%
  155    0 (Idle)             4     2305KB          2417KB    N     Y     -       N        -                66   63  softwareupdated                                                                0s              183s          0.04%
  156    0 (Idle)             7     3585KB          3857KB    N     Y     -       N        -               629  398  geoanalyticsd                                                                108s              148s         73.45%
  157    0 (Idle)             3     2769KB          2865KB    N     Y     -       N        -               490  299  parsec-fbf                                                                   105s              169s         62.03%
  158    0 (Idle)             3     4049KB          4305KB    N     Y     -       N        -               660  421  sosd                                                                          89s              141s         63.16%
